brand,series,collection,productName,subTitle,productId,imageUrl
Bottega Veneta/葆蝶家,Padded Cassette,,蓝色 羊皮 斜挎包 23 578004VMAY14636,羊皮,213200,https://sr.aihuishou.com/image/5653153479734625715.png
Bottega Veneta/葆蝶家,Padded Cassette,,灰色 牛皮 胸包 18 701366VCQ721242,编织|牛皮,213268,https://sr.aihuishou.com/image/8825171775524218274.png
Bottega Veneta/葆蝶家,Padded Cassette,,紫藤色 羊皮 腰包 9.5 668572VMAY14214,编织|羊皮,213271,https://sr.aihuishou.com/image/4817059634942105911.png
Bottega Veneta/葆蝶家,Padded Cassette,,白色 羊皮 单肩包 26 591970VCQR19005,羊皮,213290,https://sr.aihuishou.com/image/7425741271851289639.png
Bottega Veneta/葆蝶家,Padded Cassette,,米色 皮革 腰包 18 710075VCQR19776,皮革,213292,https://sr.aihuishou.com/image/7049854927968626421.png
Bottega Veneta/葆蝶家,Padded Cassette,,蓝色 羊皮 斜挎包 14.5 701915VCQC24619,编织|羊皮,214414,https://sr.aihuishou.com/image/8276503365714408834.png
Balenciaga/巴黎世家,Classic City,,黑色 羊皮 机车包 25 300295-D94JN-1000,光面|羊皮,199683,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/4628732679429972796.png
Balenciaga/巴黎世家,Classic City,,黑色 羊皮 机车包 29 433353-D94JN-1000,光面|羊皮,199681,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/1474991360330511529.png
Balenciaga/巴黎世家,Classic City,,灰色 羊皮 机车包 30 432831-AQ41G-1360,纯色|羊皮,199680,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/3383953590894980152.png
Balenciaga/巴黎世家,Classic City,,黑色 羊皮 机车包 30 431621-D94JG-1000,光面|羊皮,199679,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/2686613278643773590.png
Balenciaga/巴黎世家,Classic City,,粉色 羊皮 机车包 20.5 505982-AQ41N-5901,粒面|羊皮,199682,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/4909603621517978900.png
Balenciaga/巴黎世家,Classic City,,军绿色 羊皮 机车包 22 8230582ABV83258,光面|羊皮,199685,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/308919204918299976.png
Balenciaga/巴黎世家,Classic City,,森林绿 牛皮 机车包 22 638524-15Y47-3011,粒面|牛皮,199684,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/5961977537044844670.png
Balenciaga/巴黎世家,Classic City,,Balenciaga Classic City 其他款式,,220718,https://sr.aihuishou.com/image/817696803086776945.png
Balenciaga/巴黎世家,Hourglass,,黑色 牛皮 沙漏包 18.8 5928331LRGM1000,鳄鱼纹|牛皮,199721,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/1615269037591291211.png
Balenciaga/巴黎世家,Hourglass,,黑色 牛皮 沙漏包 22.9 5935461LR671000,鳄鱼纹|牛皮,199707,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/7431643876108600347.png
Balenciaga/巴黎世家,Hourglass,,黑色 牛皮 手提包 23 33258524072144133,鳄鱼纹|牛皮,199729,https://sr.aihuishou.com/image/4739014357494176870.png
Balenciaga/巴黎世家,Hourglass,,黑色 牛皮 沙漏包 23 5935461QJ4M1000,纯色|牛皮,199720,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/5575684420199410049.png
Balenciaga/巴黎世家,Hourglass,,黑色 牛皮 沙漏包 18.8 592833-1000,光面|牛皮,199714,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/7228317223195534892.png
Balenciaga/巴黎世家,Hourglass,,黑色 牛皮 沙漏包 18.8 5928332UDF71000,鳄鱼纹|牛皮,199712,https://aihuishou-internal.oss-cn-hangzhou.aliyuncs.com/image/2544792258198722769.png
Balenciaga/巴黎世家,Hourglass,,粉色 牛皮 沙漏包 23 5935461LR6Y5812,鳄鱼纹|牛皮,194257,https://sr.aihuishou.com/image/1381693281738977094.png
